,publishedAt,authorDisplayName,textDisplay,text_clean,normalized_text,text_token,text_stemindo,polarity_score,polarity
1429,2023-10-04T02:36:42Z,@user-wg9si1lo4k,kan cuma tiktok bambang 😂😂 bukan apk ecomerce resmi ditutup smua .. ada tempat sendiri2..ditakutkan juga kalau tanpa ijin resmi bisa terjadi banyak penipuan karena tidak bisa dipertanggungjawabkan..toh harga apk resmi masih jauh lebih murah ..😂😂 mau dagang disana juga gampang kenapa ribet sih,kan cuma tiktok bambang  bukan apk ecomerce resmi ditutup smua  ada tempat sendiriditakutkan juga kalau tanpa ijin resmi bisa terjadi banyak penipuan karena tidak bisa dipertanggungjawabkantoh harga apk resmi masih jauh lebih murah  mau dagang disana juga gampang kenapa ribet sih,kan cuma tiktok bambang  bukan apk ecomerce resmi ditutup semua  ada tempat sendiriditakutkan juga kalau tanpa ijin resmi bisa terjadi banyak penipuan karena tidak bisa dipertanggungjawabkantoh harga apk resmi masih jauh lebih murah  mau dagang disana juga gampang kenapa ribet sih,"['kan', 'cuma', 'tiktok', 'bambang', 'bukan', 'apk', 'ecomerce', 'resmi', 'ditutup', 'semua', 'ada', 'tempat', 'sendiriditakutkan', 'juga', 'kalau', 'tanpa', 'ijin', 'resmi', 'bisa', 'terjadi', 'banyak', 'penipuan', 'karena', 'tidak', 'bisa', 'dipertanggungjawabkantoh', 'harga', 'apk', 'resmi', 'masih', 'jauh', 'lebih', 'murah', 'mau', 'dagang', 'disana', 'juga', 'gampang', 'kenapa', 'ribet', 'sih']",kan cuma tiktok bambang bukan apk ecomerce resmi tutup semua ada tempat sendiriditakutkan juga kalau tanpa ijin resmi bisa jadi banyak tipu karena tidak bisa dipertanggungjawabkantoh harga apk resmi masih jauh lebih murah mau dagang sana juga gampang kenapa ribet sih,-1,negatif
1431,2023-10-03T19:26:56Z,@Kips88,Saya sangat setuju...,saya sangat setuju,saya sangat setuju,"['saya', 'sangat', 'setuju']",saya sangat tuju,3,positif
1432,2023-10-03T19:14:51Z,@bimosantoso1724,Keputusan pemerintah sudah TEPAT 👍 - Ekonomi Nasional harus diselamatkan dari platform2 E-Commerse RRC berkedok Sosial Media.. RRC sudah berani direct produk2 mereka dengan harga yang sangat tidak masuk akal!,keputusan pemerintah sudah tepat   ekonomi nasional harus diselamatkan dari platform ecommerse rrc berkedok sosial media rrc sudah berani direct produk mereka dengan harga yang sangat tidak masuk akal,keputusan pemerintah sudah tepat   ekonomi nasional harus diselamatkan dari platform ecommerse rrc berkedok sosial media rrc sudah berani direct produk mereka dengan harga yang sangat tidak masuk akal,"['keputusan', 'pemerintah', 'sudah', 'tepat', 'ekonomi', 'nasional', 'harus', 'diselamatkan', 'dari', 'platform', 'ecommerse', 'rrc', 'berkedok', 'sosial', 'media', 'rrc', 'sudah', 'berani', 'direct', 'produk', 'mereka', 'dengan', 'harga', 'yang', 'sangat', 'tidak', 'masuk', 'akal']",putus perintah sudah tepat ekonomi nasional harus selamat dari platform ecommerse rrc kedok sosial media rrc sudah berani direct produk mereka dengan harga yang sangat tidak masuk akal,6,positif
1433,2023-10-05T07:27:44Z,@barakusumo7456,tapi pembeli kayak saya mah seneng banget dapet barang murah daripada beli dipasar getok harga seenaknya,tapi pembeli kayak saya mah seneng banget dapet barang murah daripada beli dipasar getok harga seenaknya,tapi pembeli kayak saya mah senang banget dapat barang murah daripada beli dipasar getok harga seenaknya,"['tapi', 'pembeli', 'kayak', 'saya', 'mah', 'senang', 'banget', 'dapat', 'barang', 'murah', 'daripada', 'beli', 'dipasar', 'getok', 'harga', 'seenaknya']",tapi beli kayak saya mah senang banget dapat barang murah daripada beli pasar getok harga enak,17,positif
1434,2023-10-06T02:54:11Z,barahhh,difikirkan ke dapannya pak. Jangan instant saja,difikirkan ke dapannya pak jangan instant saja,difikirkan ke dapannya pak jangan instant saja,"['difikirkan', 'ke', 'dapannya', 'pak', 'jangan', 'instant', 'saja']",difikirkan ke dap pak jangan instant saja,-6,negatif
1435,2023-10-06T16:19:37Z,@bimosantoso1724,"harus ada peraturan dan price list yang sehat, ingat.. RRC memang sengaja bakar duit  untuk menarik pasar indonesia, membuat candu habit baru, setelah itu mereka juga akan membuat harga yang normal lagi, namun menghilangkan habit sudah sangat sulit dirubah.. Itulah tujuan mereka",harus ada peraturan dan price list yang sehat ingat rrc memang sengaja bakar duit  untuk menarik pasar indonesia membuat candu habit baru setelah itu mereka juga akan membuat harga yang normal lagi namun menghilangkan habit sudah sangat sulit dirubah itulah tujuan mereka,harus ada peraturan dan price list yang sehat ingat rrc memang sengaja bakar duit  untuk menarik pasar indonesia membuat candu habit baru setelah itu mereka juga akan membuat harga yang normal lagi namun menghilangkan habit sudah sangat sulit dirubah itulah tujuan mereka,"['harus', 'ada', 'peraturan', 'dan', 'price', 'list', 'yang', 'sehat', 'ingat', 'rrc', 'memang', 'sengaja', 'bakar', 'duit', 'untuk', 'menarik', 'pasar', 'indonesia', 'membuat', 'candu', 'habit', 'baru', 'setelah', 'itu', 'mereka', 'juga', 'akan', 'membuat', 'harga', 'yang', 'normal', 'lagi', 'namun', 'menghilangkan', 'habit', 'sudah', 'sangat', 'sulit', 'dirubah', 'itulah', 'tujuan', 'mereka']",harus ada atur dan price list yang sehat ingat rrc memang sengaja bakar duit untuk tarik pasar indonesia buat candu habit baru telah itu mereka juga akan buat harga yang normal lagi namun hilang habit sudah sangat sulit rubah itu tuju mereka,18,positif
1436,2023-10-08T01:58:27Z,@evisusanti-gk3fh,"MEREKA PEDAGANG OFFLINE TAPI MENGGUNAKAN MEDIA ONLINE, YANG DAGANG PEDAGANG YANG ADA DITANAH ABANG JUGA. PEDAGANG YanG MERUGIKAN PEDAGANG OFFLINE ADALAH SHOPEE, TOKOPEDIA DST KARENA BARANG DAGANGANNYA DIJUAL TANPA ADA ORANGNYA, BERBEDA DENGAN PEDAGANG YANG BERJUALAN DI TIKTOK ADA PENJUALNYA NUNGGU BARANG DAGANGANNYA. JADI YANG HARUS DITUTUP ADALAH SHOPE, TOKOPEDIA DST.",mereka pedagang offline tapi menggunakan media online yang dagang pedagang yang ada ditanah abang juga pedagang yang merugikan pedagang offline adalah shopee tokopedia dst karena barang dagangannya dijual tanpa ada orangnya berbeda dengan pedagang yang berjualan di tiktok ada penjualnya nunggu barang dagangannya jadi yang harus ditutup adalah shope tokopedia dst,mereka pedagang offline tapi menggunakan media online yang dagang pedagang yang ada ditanah abang juga pedagang yang merugikan pedagang offline adalah shopee tokopedia dst karena barang dagangannya dijual tanpa ada orangnya berbeda dengan pedagang yang berjualan di tiktok ada penjualnya menunggu barang dagangannya jadi yang harus ditutup adalah shope tokopedia dst,"['mereka', 'pedagang', 'offline', 'tapi', 'menggunakan', 'media', 'online', 'yang', 'dagang', 'pedagang', 'yang', 'ada', 'ditanah', 'abang', 'juga', 'pedagang', 'yang', 'merugikan', 'pedagang', 'offline', 'adalah', 'shopee', 'tokopedia', 'dst', 'karena', 'barang', 'dagangannya', 'dijual', 'tanpa', 'ada', 'orangnya', 'berbeda', 'dengan', 'pedagang', 'yang', 'berjualan', 'di', 'tiktok', 'ada', 'penjualnya', 'menunggu', 'barang', 'dagangannya', 'jadi', 'yang', 'harus', 'ditutup', 'adalah', 'shope', 'tokopedia', 'dst']",mereka dagang offline tapi guna media online yang dagang dagang yang ada tanah abang juga dagang yang rugi dagang offline adalah shopee tokopedia dst karena barang dagang jual tanpa ada orang beda dengan dagang yang jual di tiktok ada jual tunggu barang dagang jadi yang harus tutup adalah shope tokopedia dst,-24,negatif
1437,2023-10-25T10:12:05Z,@user-lg8tg2qi3i,"Tiktokshop di tutup pemerintah dampak yang telah terjadi puluhan ribu karyawan di exspedisi di pecat dan ribuan karyawan jualan online kehilangan pekerjaan. Dan mengakibatkan banyak pengangguran di indonesia, Apakah sekarang ada tanggung jawab pemerintah..?",tiktokshop di tutup pemerintah dampak yang telah terjadi puluhan ribu karyawan di exspedisi di pecat dan ribuan karyawan jualan online kehilangan pekerjaan dan mengakibatkan banyak pengangguran di indonesia apakah sekarang ada tanggung jawab pemerintah,tiktokshop di tutup pemerintah dampak yang telah terjadi puluhan ribu karyawan di exspedisi di pecat dan ribuan karyawan jualan online kehilangan pekerjaan dan mengakibatkan banyak pengangguran di indonesia apakah sekarang ada tanggung jawab pemerintah,"['tiktokshop', 'di', 'tutup', 'pemerintah', 'dampak', 'yang', 'telah', 'terjadi', 'puluhan', 'ribu', 'karyawan', 'di', 'exspedisi', 'di', 'pecat', 'dan', 'ribuan', 'karyawan', 'jualan', 'online', 'kehilangan', 'pekerjaan', 'dan', 'mengakibatkan', 'banyak', 'pengangguran', 'di', 'indonesia', 'apakah', 'sekarang', 'ada', 'tanggung', 'jawab', 'pemerintah']",tiktokshop di tutup perintah dampak yang telah jadi puluh ribu karyawan di exspedisi di pecat dan ribu karyawan jual online hilang kerja dan akibat banyak anggur di indonesia apakah sekarang ada tanggung jawab perintah,3,positif
1438,2023-10-03T19:04:19Z,@muchamadmuhlis7160,Coba lihat apa abis ini tanah abang langsung rame,coba lihat apa abis ini tanah abang langsung rame,coba lihat apa habis ini tanah abang langsung rame,"['coba', 'lihat', 'apa', 'habis', 'ini', 'tanah', 'abang', 'langsung', 'rame']",coba lihat apa habis ini tanah abang langsung rame,10,positif
1439,2023-10-03T18:32:19Z,@kutilkebo,"ITU ARTIS KURANG KAYA ATAU BAGAIMANA, MASIH AJA JUALAN, REJEKI ITU JGN DI KUASAI SENDIRI",itu artis kurang kaya atau bagaimana masih aja jualan rejeki itu jgn di kuasai sendiri,itu artis kurang kayak atau bagaimana masih saja jualan rejeki itu jangan di kuasai sendiri,"['itu', 'artis', 'kurang', 'kayak', 'atau', 'bagaimana', 'masih', 'saja', 'jualan', 'rejeki', 'itu', 'jangan', 'di', 'kuasai', 'sendiri']",itu artis kurang kayak atau bagaimana masih saja jual rejeki itu jangan di kuasa sendiri,-9,negatif
1440,2023-10-03T18:00:42Z,@purimila6318,Pingin tau aja dengan ditutupnya tiktokshop apa bisa berangsur pulih pasar2 offline? tidak lah..,pingin tau aja dengan ditutupnya tiktokshop apa bisa berangsur pulih pasar offline tidak lah,pengin tau saja dengan ditutupnya tiktokshop apa bisa berangsur pulih pasar offline tidak lah,"['pengin', 'tau', 'saja', 'dengan', 'ditutupnya', 'tiktokshop', 'apa', 'bisa', 'berangsur', 'pulih', 'pasar', 'offline', 'tidak', 'lah']",pengin tau saja dengan tutup tiktokshop apa bisa angsur pulih pasar offline tidak lah,-16,negatif
1441,2023-10-03T17:53:32Z,@muhammadfuadmartha4052,Instagram bagaimana? Bisa jualan juga,instagram bagaimana bisa jualan juga,instagram bagaimana bisa jualan juga,"['instagram', 'bagaimana', 'bisa', 'jualan', 'juga']",instagram bagaimana bisa jual juga,1,positif
1442,2023-10-03T17:47:05Z,@hartoniyasin5507,"Ada yang di untungkan ada yang dirugikan, untung rugi di bisnis sudah biasa",ada yang di untungkan ada yang dirugikan untung rugi di bisnis sudah biasa,ada yang di untungkan ada yang dirugikan untung rugi di bisnis sudah biasa,"['ada', 'yang', 'di', 'untungkan', 'ada', 'yang', 'dirugikan', 'untung', 'rugi', 'di', 'bisnis', 'sudah', 'biasa']",ada yang di untung ada yang rugi untung rugi di bisnis sudah biasa,2,positif
1443,2023-10-03T17:35:44Z,@elisabethprasetya6059,Iri bilang bos RIP keadilan,iri bilang bos rip keadilan,iri bilang bos rip keadilan,"['iri', 'bilang', 'bos', 'rip', 'keadilan']",iri bilang bos rip adil,-3,negatif
1444,2023-10-03T17:34:10Z,@user-pg4gf7qh6p,Sekalian judi online di berantas,sekalian judi online di berantas,sekalian judi online di berantas,"['sekalian', 'judi', 'online', 'di', 'berantas']",sekali judi online di berantas,-1,negatif
1445,2023-10-03T17:19:12Z,@hanaffhars129,shoppe juga ada sosial media shoppevideo live nya pun ada,shoppe juga ada sosial media shoppevideo live nya pun ada,shoppe juga ada sosial media shoppevideo live nya pun ada,"['shoppe', 'juga', 'ada', 'sosial', 'media', 'shoppevideo', 'live', 'nya', 'pun', 'ada']",shoppe juga ada sosial media shoppevideo live nya pun ada,12,positif
1446,2023-10-03T16:38:28Z,@naturegreen2335,MELINDUNGI UMKM YAKIN..???!!...🤔🤔😁😁 Kenapa tiktokshop di tutup?...tinjau kembali pak...pemerintah harus tegas...sederhana saja kalau pemerintah ingin melindungi UMKM negeri ini ..barang apa yang harus import dan barang apa yang tidak boleh import..sekiranya sebuah produk itu bisa di buat di negeri ini kenapa harus import..itu saja sih simpel..yang penting petugas lapangannya saja yang bener tugasnya..seperti menteri perdagangan dan perindustrian dan petugas bea cukai dan sebaginya yang kompak dan gotong royong jangan mau di suap...supaya barang import tidak masuk ke negeri ini ...selama suap berjalan yang pasti UMKM ini tidak akan terlindungi...!!!,melindungi umkm yakin kenapa tiktokshop di tutuptinjau kembali pakpemerintah harus tegassederhana saja kalau pemerintah ingin melindungi umkm negeri ini barang apa yang harus import dan barang apa yang tidak boleh importsekiranya sebuah produk itu bisa di buat di negeri ini kenapa harus importitu saja sih simpelyang penting petugas lapangannya saja yang bener tugasnyaseperti menteri perdagangan dan perindustrian dan petugas bea cukai dan sebaginya yang kompak dan gotong royong jangan mau di suapsupaya barang import tidak masuk ke negeri ini selama suap berjalan yang pasti umkm ini tidak akan terlindungi,melindungi umkm yakin kenapa tiktokshop di tutuptinjau kembali pakpemerintah harus tegassederhana saja kalau pemerintah ingin melindungi umkm negeri ini barang apa yang harus import dan barang apa yang tidak boleh importsekiranya sebuah produk itu bisa di buat di negeri ini kenapa harus importitu saja sih simpelyang penting petugas lapangannya saja yang benar tugasnyaseperti menteri perdagangan dan perindustrian dan petugas bea cukai dan sebaginya yang kompak dan gotong royong jangan mau di suapsupaya barang import tidak masuk ke negeri ini selama suap berjalan yang pasti umkm ini tidak akan terlindungi,"['melindungi', 'umkm', 'yakin', 'kenapa', 'tiktokshop', 'di', 'tutuptinjau', 'kembali', 'pakpemerintah', 'harus', 'tegassederhana', 'saja', 'kalau', 'pemerintah', 'ingin', 'melindungi', 'umkm', 'negeri', 'ini', 'barang', 'apa', 'yang', 'harus', 'import', 'dan', 'barang', 'apa', 'yang', 'tidak', 'boleh', 'importsekiranya', 'sebuah', 'produk', 'itu', 'bisa', 'di', 'buat', 'di', 'negeri', 'ini', 'kenapa', 'harus', 'importitu', 'saja', 'sih', 'simpelyang', 'penting', 'petugas', 'lapangannya', 'saja', 'yang', 'benar', 'tugasnyaseperti', 'menteri', 'perdagangan', 'dan', 'perindustrian', 'dan', 'petugas', 'bea', 'cukai', 'dan', 'sebaginya', 'yang', 'kompak', 'dan', 'gotong', 'royong', 'jangan', 'mau', 'di', 'suapsupaya', 'barang', 'import', 'tidak', 'masuk', 'ke', 'negeri', 'ini', 'selama', 'suap', 'berjalan', 'yang', 'pasti', 'umkm', 'ini', 'tidak', 'akan', 'terlindungi']",lindung umkm yakin kenapa tiktokshop di tutuptinjau kembali pakpemerintah harus tegassederhana saja kalau perintah ingin lindung umkm negeri ini barang apa yang harus import dan barang apa yang tidak boleh importsekiranya buah produk itu bisa di buat di negeri ini kenapa harus importitu saja sih simpelyang penting tugas lapang saja yang benar tugasnyaseperti menteri dagang dan industri dan tugas bea cukai dan bagi yang kompak dan gotong royong jangan mau di suapsupaya barang import tidak masuk ke negeri ini lama suap jalan yang pasti umkm ini tidak akan lindung,-39,negatif
1447,2023-10-03T16:36:46Z,@rantika97,la masih banyak yang ditiktok live jualan,la masih banyak yang ditiktok live jualan,lah masih banyak yang ditiktok live jualan,"['lah', 'masih', 'banyak', 'yang', 'ditiktok', 'live', 'jualan']",lah masih banyak yang ditiktok live jual,2,positif
1448,2023-10-03T16:33:09Z,@giyatsagitsni6583,Cuman buat ngangkat shopee dan lazada itu mah,cuman buat ngangkat shopee dan lazada itu mah,cuman buat ngangkat shopee dan lazada itu mah,"['cuman', 'buat', 'ngangkat', 'shopee', 'dan', 'lazada', 'itu', 'mah']",cuman buat ngangkat shopee dan lazada itu mah,-1,negatif
1449,2023-10-03T16:28:35Z,@user-zc9lc8nm3o,"Pemerintah hanya mementingkan orang tanah abang aja,yang lain tidak di pentingkan 😂apakah itu di namakan adil😂",pemerintah hanya mementingkan orang tanah abang ajayang lain tidak di pentingkan apakah itu di namakan adil,pemerintah hanya mementingkan orang tanah abang ajayang lain tidak di pentingkan apakah itu di namakan adil,"['pemerintah', 'hanya', 'mementingkan', 'orang', 'tanah', 'abang', 'ajayang', 'lain', 'tidak', 'di', 'pentingkan', 'apakah', 'itu', 'di', 'namakan', 'adil']",perintah hanya penting orang tanah abang ajayang lain tidak di penting apakah itu di nama adil,-4,negatif
1450,2023-10-03T15:36:21Z,@jupelity4452,Setuju...lagian itu tiktok kan platform sosial media bukan platform jualan...udah ada peraturannya ...kalo mau jualan ya di platform jualan macam shopee dll...,setujulagian itu tiktok kan platform sosial media bukan platform jualanudah ada peraturannya kalo mau jualan ya di platform jualan macam shopee dll,setujulagian itu tiktok kan platform sosial media bukan platform jualanudah ada peraturannya kalo mau jualan ya di platform jualan macam shopee dll,"['setujulagian', 'itu', 'tiktok', 'kan', 'platform', 'sosial', 'media', 'bukan', 'platform', 'jualanudah', 'ada', 'peraturannya', 'kalo', 'mau', 'jualan', 'ya', 'di', 'platform', 'jualan', 'macam', 'shopee', 'dll']",setujulagian itu tiktok kan platform sosial media bukan platform jualanudah ada atur kalo mau jual ya di platform jual macam shopee dll,18,positif
1451,2023-10-03T15:31:14Z,@rezasantoso8386,"Tolonglah teruntuk kalian para artis yg sdh banyak job, sudah kaya, gak usah ikut2 jualan lewat online . Kasih kesempatan yang masih pemula dan rakyat jelata",tolonglah teruntuk kalian para artis yg sdh banyak job sudah kaya gak usah ikut jualan lewat online  kasih kesempatan yang masih pemula dan rakyat jelata,tolonglah teruntuk kalian para artis yang sudah banyak job sudah kayak enggak usah ikut jualan lewat online  kasih kesempatan yang masih pemula dan rakyat jelata,"['tolonglah', 'teruntuk', 'kalian', 'para', 'artis', 'yang', 'sudah', 'banyak', 'job', 'sudah', 'kayak', 'enggak', 'usah', 'ikut', 'jualan', 'lewat', 'online', 'kasih', 'kesempatan', 'yang', 'masih', 'pemula', 'dan', 'rakyat', 'jelata']",tolong untuk kalian para artis yang sudah banyak job sudah kayak enggak usah ikut jual lewat online kasih sempat yang masih mula dan rakyat jelata,-8,negatif
1452,2023-10-03T15:04:21Z,@erosmaya4811,"Beli offline itu,, sudah panas2an, barang yang di cari tidak nemu, mau pulang tiba2 priiit.... 2rb melayang…",beli offline itu sudah panasan barang yang di cari tidak nemu mau pulang tiba priiit rb melayang,beli offline itu sudah panasan barang yang di cari tidak nemu mau pulang tiba priiit ribu melayang,"['beli', 'offline', 'itu', 'sudah', 'panasan', 'barang', 'yang', 'di', 'cari', 'tidak', 'nemu', 'mau', 'pulang', 'tiba', 'priiit', 'ribu', 'melayang']",beli offline itu sudah panas barang yang di cari tidak nemu mau pulang tiba priiit ribu layang,-3,negatif
1454,2023-10-03T14:59:29Z,@putra_royal,"HARUSNYA.. UMKM makin terbantu ya dengan adanya pltform sprti tiktok, mereka bisa jualan offline Online sekaligus, tapi kok malah kebalik ya??? Apa pemikiran mereka saja yang kurang siap menghadapi era digital masa kini??? Niat pemerintah ingin membantu UMKM utamanya di tanah abang, namun di balik itu.. banyak juataan pengangguran yang merasa terbantu dengan program (affiliate), bayangkan beraja juta orang yang bakal kehilangan penghasilan mereka selain affiliate. Sepertinya bukan cuma UMKM kita yang tidak siap menyambut menyambut Era digital tapi pemerintah kita juga tidak siap sama sekali...🤔🤔🤔",harusnya umkm makin terbantu ya dengan adanya pltform sprti tiktok mereka bisa jualan offline online sekaligus tapi kok malah kebalik ya apa pemikiran mereka saja yang kurang siap menghadapi era digital masa kini niat pemerintah ingin membantu umkm utamanya di tanah abang namun di balik itu banyak juataan pengangguran yang merasa terbantu dengan program affiliate bayangkan beraja juta orang yang bakal kehilangan penghasilan mereka selain affiliate sepertinya bukan cuma umkm kita yang tidak siap menyambut menyambut era digital tapi pemerintah kita juga tidak siap sama sekali,harusnya umkm makin terbantu ya dengan adanya pltform seperti tiktok mereka bisa jualan offline online sekaligus tapi kok malah kebalik ya apa pemikiran mereka saja yang kurang siap menghadapi era digital masa kini niat pemerintah ingin membantu umkm utamanya di tanah abang namun di balik itu banyak juataan pengangguran yang merasa terbantu dengan program affiliate bayangkan beraja juta orang yang bakal kehilangan penghasilan mereka selain affiliate sepertinya bukan cuma umkm kita yang tidak siap menyambut menyambut era digital tapi pemerintah kita juga tidak siap sama sekali,"['harusnya', 'umkm', 'makin', 'terbantu', 'ya', 'dengan', 'adanya', 'pltform', 'seperti', 'tiktok', 'mereka', 'bisa', 'jualan', 'offline', 'online', 'sekaligus', 'tapi', 'kok', 'malah', 'kebalik', 'ya', 'apa', 'pemikiran', 'mereka', 'saja', 'yang', 'kurang', 'siap', 'menghadapi', 'era', 'digital', 'masa', 'kini', 'niat', 'pemerintah', 'ingin', 'membantu', 'umkm', 'utamanya', 'di', 'tanah', 'abang', 'namun', 'di', 'balik', 'itu', 'banyak', 'juataan', 'pengangguran', 'yang', 'merasa', 'terbantu', 'dengan', 'program', 'affiliate', 'bayangkan', 'beraja', 'juta', 'orang', 'yang', 'bakal', 'kehilangan', 'penghasilan', 'mereka', 'selain', 'affiliate', 'sepertinya', 'bukan', 'cuma', 'umkm', 'kita', 'yang', 'tidak', 'siap', 'menyambut', 'menyambut', 'era', 'digital', 'tapi', 'pemerintah', 'kita', 'juga', 'tidak', 'siap', 'sama', 'sekali']",harus umkm makin bantu ya dengan ada pltform seperti tiktok mereka bisa jual offline online sekaligus tapi kok malah balik ya apa pikir mereka saja yang kurang siap hadap era digital masa kini niat perintah ingin bantu umkm utama di tanah abang namun di balik itu banyak juataan anggur yang rasa bantu dengan program affiliate bayang beraja juta orang yang bakal hilang hasil mereka selain affiliate seperti bukan cuma umkm kita yang tidak siap sambut sambut era digital tapi perintah kita juga tidak siap sama sekali,-14,negatif
1455,2023-10-03T14:55:36Z,@grosirindo,"Menurut ku penjual ditanah abang diberi penyuluhan dan bantuan dari pemerintah agar bisa bejualan di online juga, di tiktok banyak banyak jutaan penjual yang tersebar diseluruh Indonesia,sedangkan tanah abang penjual nya bisa dihitung jari, klo ini mah namanya mati penjual seribu tumbuh satu penjual hadeh",menurut ku penjual ditanah abang diberi penyuluhan dan bantuan dari pemerintah agar bisa bejualan di online juga di tiktok banyak banyak jutaan penjual yang tersebar diseluruh indonesiasedangkan tanah abang penjual nya bisa dihitung jari klo ini mah namanya mati penjual seribu tumbuh satu penjual hadeh,menurut ku penjual ditanah abang diberi penyuluhan dan bantuan dari pemerintah agar bisa bejualan di online juga di tiktok banyak banyak jutaan penjual yang tersebar diseluruh indonesiasedangkan tanah abang penjual nya bisa dihitung jari kalo ini mah namanya mati penjual seribu tumbuh satu penjual hadeh,"['menurut', 'ku', 'penjual', 'ditanah', 'abang', 'diberi', 'penyuluhan', 'dan', 'bantuan', 'dari', 'pemerintah', 'agar', 'bisa', 'bejualan', 'di', 'online', 'juga', 'di', 'tiktok', 'banyak', 'banyak', 'jutaan', 'penjual', 'yang', 'tersebar', 'diseluruh', 'indonesiasedangkan', 'tanah', 'abang', 'penjual', 'nya', 'bisa', 'dihitung', 'jari', 'kalo', 'ini', 'mah', 'namanya', 'mati', 'penjual', 'seribu', 'tumbuh', 'satu', 'penjual', 'hadeh']",turut ku jual tanah abang beri suluh dan bantu dari perintah agar bisa bejualan di online juga di tiktok banyak banyak juta jual yang sebar seluruh indonesiasedangkan tanah abang jual nya bisa hitung jari kalo ini mah nama mati jual ribu tumbuh satu jual hadeh,4,positif
1456,2023-10-03T14:53:35Z,@user-jn9pc5bn6q,menurut saya sih yang masih berjualan  di ruko2 mending ikutin jaman aja dari pada sewa ruko yang mahal2 mnding beli alat2 untuk berjualan online,menurut saya sih yang masih berjualan  di ruko mending ikutin jaman aja dari pada sewa ruko yang mahal mnding beli alat untuk berjualan online,menurut saya sih yang masih berjualan  di ruko mending mengikuti jaman saja dari pada sewa ruko yang mahal mending beli alat untuk berjualan online,"['menurut', 'saya', 'sih', 'yang', 'masih', 'berjualan', 'di', 'ruko', 'mending', 'mengikuti', 'jaman', 'saja', 'dari', 'pada', 'sewa', 'ruko', 'yang', 'mahal', 'mending', 'beli', 'alat', 'untuk', 'berjualan', 'online']",turut saya sih yang masih jual di ruko mending ikut jaman saja dari pada sewa ruko yang mahal mending beli alat untuk jual online,-21,negatif
1457,2023-10-03T14:51:07Z,@mochnasser,Bagaimana dengan ecommerce yang lainnya pak zul,bagaimana dengan ecommerce yang lainnya pak zul,bagaimana dengan ecommerce yang lainnya pak zul,"['bagaimana', 'dengan', 'ecommerce', 'yang', 'lainnya', 'pak', 'zul']",bagaimana dengan ecommerce yang lain pak zul,-9,negatif
1458,2023-10-03T14:49:13Z,@review_rumah_bagus,Mereka nih belum sadar yang masih mendukung platform ini...sekarang kalian jaya besok besok usaha lu yang hancur sendiri,mereka nih belum sadar yang masih mendukung platform inisekarang kalian jaya besok besok usaha lu yang hancur sendiri,mereka nih belum sadar yang masih mendukung platform inisekarang kalian jaya besok besok usaha lu yang hancur sendiri,"['mereka', 'nih', 'belum', 'sadar', 'yang', 'masih', 'mendukung', 'platform', 'inisekarang', 'kalian', 'jaya', 'besok', 'besok', 'usaha', 'lu', 'yang', 'hancur', 'sendiri']",mereka nih belum sadar yang masih dukung platform inisekarang kalian jaya besok besok usaha lu yang hancur sendiri,-2,negatif
